순번,발생 일시,발생 유형,현업 부서,단계,이슈 발생 보고,대응 결과
166,2023-01-25,언론 문의,IR그룹,관심,"하단 기사 관련) 올해 MSCI 지수 편입 가능성도 증권가에서 언급되고 있어 주가부양 측면에서 긍정적으로 생각한다.
당사는 지속적으로 주주 친화적인 정책을 펼치고 있어 투자목적 상향에 따른 큰 변화는 없을 것으로 생각한다.
https://www.sedaily.com/NewsView/29KM1E9ZC8",조선비즈 박정엽 기자 문의
167,2023-01-27,언론 문의,E&P사업운영섹션,주의,"세넥스에서 가스전 사업 확장 중단한 후에 장비 주문도 취소했다는 거 보고 연락드렸어요. 세넥스쪽 상황이 계속 안 좋은 거 같은데 포스코인터는 지분 그대로 가져가는 거죠? 그리고 조준수 E&P사업실장이 세넥스의 이사회 의장인 게 맞는 걸까요? 한번 확인 부탁드려요.
1) 장비주문 취소한 바 없고 지분 관련 특이사항 없음. 참고로 호주정부에서 가스가격상한제관련 후속법안을 2월에 발표예정이라 해당 내용 예의주시하고 있음
2) 조준수 실장이 세넥스 이사회 의장인건 맞음",더구루 오소영 기자
168,2023-01-27,보도자료 게재,IR그룹,관심,"포스코인터내셔널 영업이익 사상 첫 1조 돌파, 상사부문 매출 밀고 에너지부문 이익 끌고… 양날개로 비상",
169,2023-01-30,언론 문의,에너지사업운영그룹,관심,"광양터미널에서 처리하는 전체의 물량이 우리나라 수입량의 전체의 몇 % 정도 처리를 하고 있는건지?
> 21년 한국 lng 수입량은 약 4천6백만톤 (관세청 통계기준)이며, 이 중 340만톤으로 7.4% 수준입니다.",매일경제 성승훈 기자 문의
170,2023-01-30,언론 문의,HR그룹,관심,"연합뉴스에서 실내 마스크 의무 착용 해지로 사내분위기등에 변화가 있는지 문의왔었습니다.
공지사항 참고하여 근무환경 고려하여 실내 마스크 착용 지침은 기존대로 유지하기로 했다고 설명했습니다.",연합뉴스
171,2023-01-30,언론 문의,에너지사업운영그룹,관심,"장소별로 설명해주셨던 분들 성함 +직함 확인
- 광양 LNG터미널(로비): 조승룡 LNG터미널부장
- 1~5# 탱크/부두 투어: 김명규 총괄
- LNG터미널: 서기식 터미널건설추진반 그룹장
- 육상풍력단지: 신철홍 신안그린에너지 대표",파이낸셜 홍요은기자 요청
172,2023-01-30,언론 문의,IR그룹,관심,"통합법인 첫 투자라고 해도 무방하겠죠?
예 그렇습니다.",머투 김도현기자
173,2023-01-30,언론 문의,에너지사업운영그룹,관심,"LNG터미널에서 수요처까지 전달과정 궁금합니다(열조, 정합 의미 설명 포함)
LNG는 배관망을 통해 수요처에 전달돠는데 기체상태로 보내게 됩니다.
LNG탱크(액체) ->기화(기체)->열조*(기체)->정압**(기체)->수요처(기체)
@기체상태 전달시 KOGAS(가스공사)배관망이용
*열조 : 기화된 LNG(기체상태)를 배관망을 통해 보낼 때 수입된 LNG들이 서로 열량이 다르기 때문에 LNG 열량을 맞추기 위해 LPG를 일부 섞어 동일한 수준의 열량을 맞추는 작업을 하게 됩니다. 이 단계를 열조 라고 보시면 됩니다.
**정압 : KOGAS 배관망을 통해 안정적으로 LNG들이 전달될 수 있도록 정해진 압력까지 끌올리게 되는데 이 작업을 정압 과정이라고 보시면 됩니다. 정합설비는 압력 높이는 설비이며, 이설비를 거쳐 수요처(SK E&S, S-Oil, POSCO 등)로 가게 됩니다.
터미널 연계사업 중 선박시운전 사업이 있는데 주요 고객은 어떻게 되나요
국내 주요 조선 4사인 현대중공업, 대우조선해양, 삼성중공업, 현대삼호중공업 입니다.
선박시운전 실적은 어떻게 되나요
2010년부터 2022년 까지 총 250회를 수행했으며 선박의 상태에 따라 다르지만 평균 30시간이 소요됩니다.",한국일보 이윤주 기자 문의
174,2023-01-31,언론 문의,에너지사업운영그룹,관심,"광양 2터미널이 완공되면 국내 민간 1위, 전세계 11위라고 하는데, 현재 기준으로는 몇 위인지?
73만kl 기준 전 세계 기준 23위입니다.",한국경제 장서우 기자 문의
175,2023-01-31,보도자료 게재,에너지사업운영그룹,관심,"포스코인터내셔널, 에너지 밸류체인 강화해 친환경 종합회사로 도약한다",
176,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] 영하 162도 끄떡없다, 광양 앞바다 ‘고척돔’ 규모 탱크의 정체",https://www.joongang.co.kr/article/25137214
177,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터, 전국민 40일 쓸 LNG터미널 ‘착착’",https://n.news.naver.com/mnews/article/020/0003476957?sid=101
178,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] ""변덕스런 LNG는 첨단 기술로 다뤄야죠""...광양 바닷가 서커스 막사의 정체는",https://www.hankookilbo.com/News/Read/A2023013019450004657
179,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,[르포] 포스코인터 “난방비 급등 주범 LNG 저장 늘린다”,https://m.mk.co.kr/news/business/10624853
180,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] LNG 밸류체인 강화 나선 포스코인터, 1조 투자해 터미널 증설 박차",https://n.news.naver.com/mnews/article/015/0004805053?sid=101
181,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] '고척돔' 규모 LNG 탱크만 8기…""전 국민 40일 난방 가능""",https://www.sedaily.com/NewsView/29KOTIW00H
182,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] ‘고척돔 크기’ 거대 탱크…""전국민 40일간 쓸 난방가스 저장""",https://www.fnnews.com/news/202301311824178303
183,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,[르포] 北이 미사일 쏴도 끄떡 없는 'LNG시설'…포스코그룹 기술 총동원,https://news.mt.co.kr/mtview.php?no=2023013015481029442&type=1
184,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] ""전국민이 난방용가스로 20일 쓸 수 있죠""..광양LNG터미널 가보니",https://www.edaily.co.kr/news/read?newsId=02902806635483296&mediaCodeNo=257
185,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] 통합법인 출범 포스코인터, 아시아 '톱10' 에너지기업 도약 노린다",http://www.thebell.co.kr/free/content/ArticleView.asp?key=202301311422401920101355&svccode=00&page=1&sort=thebell_check_time
186,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,[르포] '지진·미사일 공격'에도 끄떡없다… 포스코인터 광양LNG터미널,https://moneys.mt.co.kr/news/mwView.php?no=2023013015463950496&type=4&code=w0410&code2=w0100
187,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,[르포] 전국민이 40일 쓰는 에너지가 한곳에…포스코인터 LNG터미널 가보니,https://www.news1.kr/articles/?4938398
188,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터, LNG·풍력 타고 '친환경 종합 에너지기업' 발돋움",https://www.etnews.com/20230131000218
189,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터 ""에너지 갖춘 친환경 종합사업회사 도약""",https://www.ekn.kr/web/view.php?key=20230131010006708
190,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터, 광양 LNG터미널 규모와 내구성에 두번 놀라",https://biz.newdaily.co.kr/site/data/html/2023/01/31/2023013100119.html
191,2023-02-01,기획자료 게재,에너지사업운영그룹,관심,"[르포] LNG·풍력 '투트랙' 포스코인터, 에너지社 비상 날갯짓",http://www.newsprime.co.kr/news/article/?no=591811
192,2023-02-03,언론 문의,기업시민사무국,주의,"신규 공장 지으면 그만큼 환경파괴 되는건 아닌지?
- 그에 따른 정책이 있는지?
- ESG관련 어떤 건지 구체적으로?
- 부지가 결정 되었는지?
- 채용은 현지인 하는지?
답변
- 현재 이사회 통과하고 투자하는 것으로 결정되었고 부지, 채용 등 정해진 바 없다.
- 당사는 여러 다양한 지역상생활동, 글로벌 스탠다드를 상회하는 환경 정책등 펼치고 있어 그에 준하게 진행해나갈 예정이다.",팍스넷 박나연 기자 문의
193,2023-02-06,언론 문의,HR그룹,관심,"- 주재원 공모로 뽑는지? 수시로 하는지? 최근에 했는지?
- 경쟁률 높은지? 미달은 안되는지? 젊은 직원들은 잘 안가려고 한다던데?
- 월급체계는 어떤지? 등이였습니다.
[답변]
- 공모제로 하고, 정기적, 필요시 공모함
- 업무중심으로 뽑기때문에 경쟁률은 케바케임. * 내가 아는 한 미달은 없을 것임
- 주재원은 업무의 전문성을 기를 수 있는 기회이기 때문에 기회라고 생각하는 사람도 있을 것이고 그렇지 않은 사람도 있을 것임. 그러나 전반적으로 개인이 성장할 수 있는 좋은 기회이기 때문에 그렇게 이해해주시면 됩니다. 라고 답변.
- 월급은 대외비라 답변하기 어려움.",헤럴드경제 김은희 기자 문의
194,2023-02-07,언론 문의,식량바이오사업운영섹션,관심,"7대 핵심사업 포함, 런던곡물협회 가입 등 식량사업 주요 연혁이 궁금하다 (내용 보강하여 지면 게재 예정)
A1. 국내 상사 중 유일한 런던곡물거래협회(GAFTA), 유지류거래업협회(FOSFA) 회원사인 포스코인터내셔널은 옥수수, 밀, 쌀, 대두 등 주곡을 중심으로 국내 수입 뿐만 아니라 전 세계 네트워크를 활용하여 아시아(한국, 중국 등), CIS (러시아, 우크라이나), 북/남미, 중동, 아프리카 지역에서의 삼국간 거래 확대를 통해 주요 곡물 트레이딩 업체로서 입지를 다지고 있습니다. 글로벌 주요 곡물 산지인 흑해 연안에서의 조달 경쟁력을 향상하고자 우크라이나 곡물터미널 사업을 진행중이며, 20여년간의 쌀 수입 비즈니스 경험을 토대로 미얀마 현지에서 쌀 산업 밸류체인의 핵심인 미곡종합처리장(RPC) 사업을 운영중입니다.
A2.
- 2015년 세계 곡물거래기관인 런던곡물거래협회(GAFTA) 정식회원사자격 취득
- 2016년 유지류거래업협회(FOSFA) 가입
- 2018년 포스코그룹 100대 과제 중 하나로 식량사업 선정
- 2019년 9월 우르카리아 곡물터미널 준공
- 2022년 포스코홀딩스, 그룹 7대 핵심 사업 중 하나로 식량사업 선정
①철강 ②이차전지소재 ③리튬·니켈 ④수소 ⑤에너지 ⑥건축·인프라 ⑦식량
A3. 회사 전체 곡물 취급량과 매출은 2015년 84만t, 3,700억 원에서 2020년 800만t, 2.7조 원까지 성장, 2030년까지 2500t, 10조 원 규모로 확대하겠다는 포부다. 이를 위해 영농, 저장, 가공, 물류 등 유통 단계별 연계 강화를 바탕으로 수익성을 확보하고, 국제 곡물 시장에서 회사 영향력을 확대한다는 방침이다.",농민신문 홍지상 기자 문의
195,2023-02-08,언론 문의,홍보그룹,관심,,매일경제 문의
196,2023-02-12,언론 문의,삼척블루파워,위험,"삼척 관련 기사 문의시 블루파워 직접 연결합니다 대응도 삼척에서 직접합니다 단 중앙언론에서 기사화 됐을 시 1차 해명은 삼척블루에서 직접 대응하도록 할 계획이며 저희는 기자 네트워크를 통해 당사 사명이 나왔을 시 삼척블루파워로 바꾸는 것만 진행합니다
===
삼척블루파워는 저희가 출자한 회사일뿐 별도 회사 입니다
삼척블루파워 시운전 계획등에 대해 잘 알지 못해
삼척블루파워 홍보와 직접 이야기 나누시는 것이 도움 되실 것 같습니다
홍보임원과 홍보팀장을 연결해 드리겠습니다
김동삼커뮤니케이션그룹장(상무보)
010-4611-2330
홍성환팀장
010-6664-7213
-----------
삼척화력발전은 삼척블루파워라는 별도 법인회사가 운영하는 것으로 압니다 인터가 주인이 아닙니다
저희는 단지 출자사 중 하나 일뿐 입니다 독자분들께서 오해 하실 수 있으니당사 언급 부분은 빼주시고 삼척블루파워로 변경해 주시길 정중히 부탁드립니다.",
197,2023-02-15,언론 문의,E&P사업운영섹션,관심,"대표적인 CCS사업 추진 기업인 당사와 SK의 정보를 알고 싶어서 연락했다고 합니다.
1. 포크코인터의 CCS사업 현황
2. 국외 탄소 저장소 확보는 어떻게 되고 있는지
3. CCS사업 진행이 계획대로 되지 못할 경우 대안이 있는지 등에 대해 문의했습니다.",한국일보 문의
198,2023-02-16,언론 문의,식량바이오사업운영섹션,관심,"PTPN III이라는 인니 회사랑 mou 체결한 거 현지 외신에서 봤는데요. 한국능률협회컨설팅(KMAC)랑 세 회사가 체결한 건지(아마 아닌 거 같긴 한데 번역이 헷갈려서요), 팜농장 확장, 팜유 정제 공장·NPK 비료 공장 건설, 바이오연료 거래가 포함된 거 같은데 맞는지 한번 봐주세요. 그리고 이들 사업 중에 구체화된 것도 있는지 궁금합니다. 홍승표 포스코인터내셔널 식량사업2실장이 MOU 체결식에 참여했고 10일에 체결한 거 같아요. 참고 부탁드려요.
- 답변 : 우선 KMAC은 PTPN에서 별도미팅한 것임.
당사와 PTPN간 MOU체결은 했고, 양사가 인니에서 함께 팜사업하고 있으니 향후 협의할 게 있을지 정도에 대한 내용이였음(구체화된 내용은 없는 상황)",더구루 문의
199,2023-02-16,보도자료 게재,법인지사관리그룹,관심,"포스코인터내셔널, 아프리카 수단에서 제약사업으로 피운 상생의 꽃",
200,2023-02-16,기획자료 게재,법인지사관리그룹,관심,[인터뷰] 포스코인터 “수단 풍토병 퇴치에 사업도 성과”,https://youtu.be/tKWJq9qWQG8
201,2023-02-21,언론 문의,법인지사관리그룹,관심,"한국경제 장서우 기자 취재 문의입니다.
일전 실장님과 점심 오찬 중 이야기가 나와, 이를 구체화하는 사항입니다.
해당 기자는 2월말부터 무역협회 주관 유럽 프레스투어 예정으로, 3/3 독일 프랑크푸르트 경유시 하루 동안 당사 법인 직원과의 간단한 인터뷰(코멘트) 문의했던 건입니다. 참조로, 무역협회는 해당 투어 시간 중 포스코 브뤼셀 오피스와 별도로 공식적으로 기자단과 미팅 추진 중입니다.
- 기자 일정 : 3월 3일 오후 1시(현지시각) 푸랑크푸르트 in, 다음날 오전 off → 당사 법인 실무자와 저녁식사 or 티타임
- 문의 내용 : 당사 법인 운영 현황 및 유럽 통상 관련 이슈(탄소국경세, 공급망실사법 등) 관련 현지 법인 담당자의 현장감 있는 코멘트",한국경제 장서우 기자 문의
202,2023-02-21,보도자료 게재,식량바이오사업운영섹션,관심,"포스코인터내셔널, 우크라이나 곡물터미널 이상 無 부분 운영으로 해외 식량사업 명맥 이어가",
203,2023-02-21,기획자료 게재,식량바이오사업운영섹션,관심,“러·우크라 간 ‘흑해협정’ 연장 협상 조만간 열릴 듯”?3월18일 기한,https://n.news.naver.com/mnews/article/662/0000014898?sid=104
204,2023-02-22,언론 문의,에너지사업운영그룹,관심,"문화일보 이승주 기자 신안풍력단지 관련 문의 건입니다.
Q. 신안 풍력단지 62.7MW 규모가 어느 수준인건
A1. 신안, 목포권역 3만1000세대에 전기 공급이 가능한 수준 (평균 이용률 21% 기준)
A2. 연간 5만톤의 이산화탄소를 감축하고, 1천 4백만 그룹의 소나무 식재효과를 거둘 수 있는 규모",
205,2023-02-23,언론 문의,E&P사업운영섹션,관심,"인도네시아는 가스전을 개발하더라도 해외수출은 불가능해서 이번 탐사 구간이 개발 되더라도 국내 수입은 불가능한 것이 아닌가?
답변 : 인도네시아는 법적으로 생산량의 최소 25% 이상을 인니에서 소비해야하는 것은 맞으나 나머지 물량에 대해서는 별다른 제한은 없으며 개발 이후 상황에 따라서 국내수입 가능성도 열려있다.",서울경제 박호현 기자
206,2023-02-23,언론 문의,E&P사업운영섹션,관심,"13억배럴 = 국내 천연가스 수입량 2.3년치
13억 배럴 관련 부연설명 드립니다.
벙아 광구에 서10개의 유망구조를 찾음
10개 유망구조 모두에서 가스전이 나온다고 가정하면 산출량이 13억 배럴
실제로는 2~3개 정도의 유망구조만 선정을 해서 시험시추를 해볼 계획임",서울경제
207,2023-02-23,언론 문의,식량바이오사업운영섹션,관심,"뉴스핌 기사를 보고 문의를 많이 하셨는데,
사실대로 많은 부분 정정했고,
이외 지분구조, 판매 방식, 코발트나 다른 자원관련,
다른 니켈 프로젝트 참여 등에 대해 대답해 드렸습니다.",헤럴드경제 김성우 기자
208,2023-02-23,언론 문의,철강사업운영섹션,관심,"3월 주총에서 정관상 사업목적에 '건설기계대여업'을 추가하는데 이유는?
답변
철강원료사업실에서 중소업체들과 협업하여 철스크랩 수집기지 사업을 하고 있음. 당사가 장비(압축기, 포크레인 등)를 구매해서 업체에 대여하는 형식으로 중소업체들의 비용부담을 덜어주고 협업하여 스크랩을 포스코에 공급. 장비대여를 위해서 건설기계대여업을 추가해야 위법 소지가 없음. 자원순환 + 중소기업상생 의미가 있으며 수집기지 20호 까지 늘려나갈 계획.",더벨 이호준 기자 문의
209,2023-02-23,보도자료 게재,E&P사업운영섹션,관심,"포스코인터내셔널, 제 2의 가스전 성공 신화 도전... 인도네시아에서 천연가스 해상광구 탐사운영권 확보",
210,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] 포스코에너지 품은 포스코인터 “LNG 밸류체인 완성”,https://www.hani.co.kr/arti/economy/marketing/1080952.html?_ga=2.123862666.1853748392.1680163466-268262224.1680163466
211,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] 풍력발전부터 전국민 40일분 LNG까지… 에너지 기업 ‘우뚝’,https://news.kmib.co.kr/article/view.asp?arcid=0924288952
212,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] “K-조선 출항 전 마지막 단추까지” 포스코인터 LNG터미널의 ‘무한 변신’,http://biz.heraldcorp.com/view.php?ud=20230223000271&ACE_SEARCH=1
213,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,"[르포] 신안엔 풍력발전단지, 광양선 LNG선 건조… 포스코인터 ‘친환경 에너지사’ 잰걸음",https://www.munhwa.com/news/view.html?no=2023022301031807301001
214,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] POSCO International expands presence as eco-friendly energy supplier,https://www.koreatimes.co.kr/www/tech/2023/02/129_345941.html
215,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,"[르포] Posco International looks to renewables, LNG to keep up with changing times",https://koreajoongangdaily.joins.com/2023/02/23/business/industry/Korea-Posco-International-LNG/20230223120021710.html?detailWord=
216,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] LNG·LPG선 시운전에 척당 10억원… 포스코인터 광양 터미널,https://biz.chosun.com/industry/company/2023/02/23/7LYIHJNXCBBHZF5NO5XSW7YCAY/
217,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터 '친환경' 사업의 첨병 '광양·신안' 가보니···""수출용 선박도 시운전""",https://www.ajunews.com/view/20230223105517310
218,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] 세계11위 꿈꾸는 포스코인터LNG터미널…강진·미사일도 견딘다,https://www.yna.co.kr/view/AKR20230223048700003?section=search
219,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터내셔널, 풍력·태양광·LNG 사업 펼쳐 종합 에너지기업으로 '우뚝'",https://www.news2day.co.kr/article/20230222500236
220,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,"[르포] 포스코인터, 신안·광양 '요충지' 두고 에너지 사업 큰그림",https://dealsite.co.kr/articles/99614
221,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,"[르포] ""국가 에너지 안보 기여""...포스코인터, LNG 사업 확대 '박차'",https://www.inews24.com/view/1569778
222,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] 전남 신안 풍력발전·LNG 심장부 가다,https://www.ebn.co.kr/news/view/1568028
223,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] 포스코인터 친환경에너지 현장 가보니 초속 7m 강풍이 3만 세대 전기로 변신,http://www.smedaily.co.kr/news/articleView.html?idxno=250121
224,2023-02-23,기획자료 게재,에너지사업운영그룹,관심,[르포] 탄소중립 앞장서는 포스코인터…육·해상 풍력부터 태양광까지,https://www.theguru.co.kr/news/article.html?no=50163
225,2023-02-24,언론 문의,HR그룹,관심,"ChatGPT관련 사내 활용/교육 등의 사례가 있는지 문의 왔습니다.
조직문화혁신그룹 확인해보니 ChatGPT 활용/교육은 하고 있지 않지만
포스텍 AI전문가 과정에 매년 2차례 희망 직원 파견하여 교육하고 있다고 설명했습니다",연합뉴스
226,2023-02-24,언론 문의,E&P사업운영섹션,주의,"서울경제 보도자료 기사에 추정매장량 13억 배럴, 현재 시세로 약 118조로 추산된다는 내용이 있는데, 이게 사실인지?
답변: 외신에서 보도된 추정 매장량을 기준으로 국내 언론사에서 독자적으로 추산해서 보도한 내용으로 당사는 수량 및 금액과 관련해서 어떤 의견이나 견해도 제시한 바 없음.",한국거래소 문의
227,2023-02-24,언론 문의,에너지사업운영그룹,관심,"당진터미널 1.착공시기 2. 용량 3.협력회사 문의
참조. 포스코인터내셔널 당진 LNG터미널은 LX인터내셔널과 합작으로 진행하는 것으로 알려졌다. LX인터내셔널이 당진에 보유하고 있는 6만평 부지에 터미널을 구축해 포스코에너지의 인천발전소에 공급하고 LX인터내셔널의 범계열사로 분류되는 GS그룹 발전사에도 공급할 계획으로 알려졌다.",전자신문 류태웅기자
228,2023-02-24,보도자료 게재,식량바이오사업운영섹션,관심,"포스코인터내셔널-대상㈜, 식량사업 강화 위해 공동 투자 맞손",
229,2023-03-05,보도자료 게재,기업시민사무국,관심,"포스코인터내셔널, 에너지 효율 개선사업으로 취약계층 난방비 근심 덜어준다",
230,2023-03-06,언론 문의,식량바이오사업운영섹션,관심,"1) 우크라이나 전쟁 1주년 즈음하여 당사 곡물터미널 운영현황 궁금하다. 전쟁 전후로 취급량 등 얼마나 변화되었나?
2) 우크라이나 이외에도 전반적인 곡물사업 현황(최근2~3개년) 알고싶다.
<참고>
우크라이나 터미널법인이 22년 취급한 물동량은 31만톤으로, 21년 76만톤 대비 절반 이상이 감소했다. 전쟁 직후 항만 봉쇄로 터미널 운영이 일시 중단되기도 했으나 공급망 붕괴를 우려하는 고객들의 요청에 따라 지난 해 5월부터 육로 운송을 통해 옥수수, 호밀, 보리 등을 유럽, 아프리카 등지로 수출하고 있다. 현재 터미널에 남아 있는 재고물량은 총 1만 6000천톤으로 3월까지 출하를 완료한다는 계획이다.
<언론사용 워딩>
1. 취급량 :
21년 : 76만톤, 22년 : 31만톤,
전쟁 벌어진 22년 2월 당시 116천톤 보유. 그 이후 출하가 계속되면서 23년 2월 기준 16천톤 보유. 이는 3월까지 출하 완료 계획.
2. 운영현황 : 외교부 지침에 따라 주재원은 폴란드에서 원격근무 중이고, 30~40명의 현지 필수 인원 중심으로 터미널을 운영하고 있다. 직원들은 안전을 최우선시하며 주간에만 곡물을 출하하고, 공습경보시에는 터미널내 안전장소로 대피하고 있음.
3. 특징 :
1) 포스코인터내셔널은 곡물터미널을 통해 가동을 시작한 2019년부터 전쟁 전까지 약 250만톤의 곡물을 아시아, 중동, 아프리카 등지로 수출해 왔다. 또한 20년 밀 7만톤, 21년 옥수수 5만톤에 이어 지난해 옥수수 6만톤을 국내로 들여와 폭등하는 곡물 및 사료가격 안정에 기여하기도 했다.
2) 전쟁 이후 밸류체인 확장을 신속하게 추진하기 위해 현지 유망 영농기업을 선정해 교류와 협력을 강화하는 한편, 수요가 늘고 있는 곡물 가공분야 진출, 국내 곡물 반입 확대를 위한 내륙저장시설 추가 투자 등도 함께 모색해 나갈 계획이다.",한겨레 최우리 기자 문의
231,2023-03-06,언론 문의,HR그룹,주의,"통합인사 노무제도 관련 양사 투표했고 트레이딩은 3.1부로 시행. 에너지부문은 투표했으나 부결되었다고 들었다. 사실인지?
- 답변 : 다른성격의 회사간 통폐합 과정중. 제도에 대해 직원들 의견 청취하면서 합치는 과정임.
- 추가 질문 : 트레이딩 부문은 그럼 시행하는거 맞냐? 노무제도 시행하려면 지구언 과반수 찬성해야되서 투표하지 않았냐?
- 답변 : 통폐합 위해 순차적 진행중이다.
아주경제 질문 : 인터(구 에너지)의 노조가 어디 산하냐?
답변 : 한국노총산하.
추가 답변 : 참고로 이번 통합 과정에서 현장직은 대상이 아니였음(임금체계가 달라 유지)","아주경제
김수지 기자"
232,2023-03-06,언론 문의,식량바이오사업운영섹션,주의,"1. 배경 :
2017년 농림부에서 우리회사에 융자를 내줬고(PT BIA투자 관련?) / 1500억 수준 * 당사는 산림청에서도 융자를 받은게 있음
그래서 의혹이, 아래와 같고. 우리쪽에는 PT BIA의 ESG경영 내용에 대한 질문과,
2017년 차입금 관련 사실여부를 확인중임
- 포스코인터내셔널이 산림청과 중복지원되는 건이 아닌지
- 팜유가 환경파괴 측면이 있는데 융자지원이 적정했는지
- 융자지원 및 선정절차가 어떠했는지?
2. 현재 상황 - 영업팀 및 기업시민에서 답변 작성 중 - 내일 기자는 미팅 가능(영업팀 일정 수취 대기중)
https://newstapa.org/article/fbMxc",뉴스타파 김지윤 기자 문의
233,2023-03-07,기획자료 게재,친환경사업운영섹션,관심,[르포] “전기차 흐름 못타면 도태”… 車부품기업들 사활건 기술 확보전,https://www.donga.com/news/article/all/20230307/118202019/1
234,2023-03-13,언론 문의,HR그룹,관심,"21년 대비 '22년 임금 증가 관련 답변 드립니다.
자료는 비등기임원을 포함한 본/지사 임직원에 해당하며,
1) 임원 보수(급/상여) 인상
2) 지사근무자의 각종 해외수당 등 일체 가산
3) '22년초 지급된 '21년 직원 경영성과급의 지급률 차이
상기 3가지의 복합적인 사유로 증가한 것으로 일반적인 본사 직원 급여 통계치와는 괴리가 있습니다.",조선비즈 권오은 기자
235,2023-03-13,언론 문의,IR그룹,관심,"Q. 사업보고서에 나온 매출은 37조9896억원인데, 지난번 합산 실적으로 자료 내셨던거에는 41조67000억원이어서..에너지 미합산인거 같긴 합니다. 포스코 매출을 넘어선 것이 최초인 것인지, 해당 매출액은 단독 인터 기준인 것인지 확인 부탁드려요
답변
작년 단독 연결 매출 기준 최초로 넘어선 것은 맞습니다. 포스코의 경우 힌남노 사태인 영향이 큰 탓도 있습니다. (같은 그룹사이다보니 제 코멘트는 취재 참조용으로만 부탁드립니다)
참조.
포스코 연결요약 기준
매출 35,822,194
영익 1,606,263
포스코인터(합병전 기준) 연결요약 기준
매출 37,989,588
영익 902,507",한국경제 장서우 기자 문의
236,2023-03-14,언론 문의,철강사업운영섹션,관심,"네덜란드 사절단이 방한해 산업부와 미팅을 진행한다고 합니다. 여기에 저희가 작년에 체결한 하이퍼루프 사업이 언급
에너지 강재실 서경철 실장, 김대웅 그룹장 참석, 하르트쪽 관계자가 사절단에 포함되어 업무진행 방향에 대한 mou체결 예정이라고 합니다. 특별한 내용은 아니고, 지난 11월 체결한 mou의 연장성이라고 합니다. 연합에서 문의하여 기사 작성할 것 같습니다.
관련기사
https://zdnet.co.kr/view/?no=20230314141512",연합뉴스 문의
237,2023-03-15,언론 문의,법인지사관리그룹,관심,"Q : 코트라에서 14일에 열렸던 한·브 농산물 공급망 협력 라운드테이블에 포스코인터내셔널도 참여를 했던데요. 포스코인터에서 식량 사업 하고 있어서 참여를 한 거 같은데 혹시 어떤 이야기 나눴는지 대략적으로라도 공유되는 게 있을까요?
A : 브라질 파라나주 주지사 방한 건으로, 코트라와 당사 등이 미팅 참석했습니다. 파라나주에서 한국으로 대두박 수출을 희망하고 있어 해당 내용 관련 각사들의 의견을 공유하고, 협렵방안을 모색하는 자리였습니다.",더구루 문의
238,2023-03-15,보도자료 게재,대외협력그룹,관심,"포스코인터내셔널 정탁 부회장, 우즈베키스탄에서 2030 부산엑스포 유치활동 펼쳐",
